Country/Region,;Adult prevalence;Number of people;Annual deaths;Year of estimate
 Tunisia;-;2,900;-;2016
 Serbia;0.04%;2,700;-;2016
 Croatia;0.14%;2,700;-;2023
 China;0.09%;1,250,000;-;2018[25]
 Malta;0.09%;453[26];-;2019
 Lebanon;0.06%;3,750[27];-;2016
 Czech Republic;0.051%[28];3,122[29];-;2019
 Montenegro;0.12%;401;-;2023
 Algeria;0.03%;13,000;-;2016
 Saudi Arabia;0.02%;8,200;-;2016
 Bosnia and Herzegovina;0.01%;350;-;2018
 Kosovo;0.00%;83;-;2013[30]
 Turkmenistan;-;720;-;2021
 Grenada;-;5 300;-;2023
 Antigua and Barbuda;-;84;-;2022
 Turks and Caicos Islands;-;1 000;-;2023
 Samoa;-;1 100;-;2023
 Dominica;-;240;-;2023
 Iraq;0.24%;4 700;-;2021
 United Arab Emirates;0.20%;23,000;10,000;2024
 East Timor;-;30;-;2022
 Finland;0.40%;6,000;1,500;2021
 Svalbard;-;2;-;2023
 Kiribati;-;45;-;2023
 Saint Kitts and Nevis;-;100;-;2023
 Mauritius;0.16%;6,671[31];-;2022
 Singapore;0.19%;9,231;-;2021
 Hong Kong;0.16%;11,737;-;2023
 Palau;-;310;-;2023
 Tonga;-;400;-;2023
 Japan;0.02%;21,739;-;2022
 Puerto Rico;-;526;-;2023
 Brunei Darussalam;-;40;-;2024
 Comoros;-;188;-;2023
 Niue;-;35;-;2023
 Seychelles;-;86;-;2023
 Kuwait;-;400;-;2023
 Iceland;-;2,000;-;2022
 Anguilla;-;500;-;2024
 French Polynesia;-;290;-;2023
 South Korea;0.029%[32];15,196[33];-;2023
 New Zealand;-;3,033 [34];-;2023
 Austria;-;3,000;-;2023
 Cyprus;-;1,200;-;2023
 Tuvalu;5.20%;702;-;2022
 Libya;1.02%;1,700;-;2024
 Christmas Island;-;13;-;2024
 Hungary;0.11%;10,000;-;2023
 Romania;-;1,660;-;2024
 Réunion;-;118;-;2024
 São Tomé and Príncipe;-;15,600;-;2023
 Uzbekistan;-;48,658[35];-;2024
 Slovakia;-;2,000;-;2023
 Belgium;-;4,000;-;2024
 Greece;-;1,100;-;2024
 Vanuatu;-;325;-;2023
 Mongolia;-;2,500;-;2024
 British Virgin Islands;-;48;-;2024
 American Samoa;-;110;-;2023
 Nauru;-;270;-;2024
 Marshall Islands;-;19;-;2024
